institute_std,class_id,content_id,class_name,content_title,content_order,learner_count,attempt_count,question_count,avg_score_pct,avg_accuracy_expected_pct,avg_completion_pct,content_mapping_confidence,tas_proxy_score_pct,evidence_score,evidence_level
Letshego Ghana,70,418.0,Audit & Compliance,Letshego Ghana's Risk Based Approach,1.0,3,3,1,86.66666666666667,86.66666666666667,100.0,HIGH,89.33,15.07,VERY_LOW
Letshego Ghana,70,422.0,Audit & Compliance,SUSPICIOUS TRANSACTION REPORTING,10.0,1,1,1,88.0,88.0,100.0,HIGH,90.4,9.47,VERY_LOW
Letshego Ghana Ltd,70,416.0,Audit & Compliance,What is Money Laundering?,1.0,1,1,1,96.0,96.0,100.0,HIGH,96.8,9.47,VERY_LOW
Letshego Ghana Ltd,70,418.0,Audit & Compliance,Letshego Ghana's Risk Based Approach,1.0,1,1,1,96.0,96.0,100.0,HIGH,96.8,9.47,VERY_LOW
Letshego Ghana Savings and Loan PLC,70,422.0,Audit & Compliance,SUSPICIOUS TRANSACTION REPORTING,10.0,1,1,1,96.0,96.0,100.0,HIGH,96.8,9.47,VERY_LOW
Letshego Saving and Loan,70,416.0,Audit & Compliance,What is Money Laundering?,1.0,1,1,2,88.0,88.0,100.0,HIGH,90.4,9.47,VERY_LOW
Letshego plc,70,416.0,Audit & Compliance,What is Money Laundering?,1.0,1,1,3,84.0,84.0,100.0,HIGH,87.2,9.47,VERY_LOW
Letshego plc,70,422.0,Audit & Compliance,SUSPICIOUS TRANSACTION REPORTING,10.0,1,1,1,84.0,84.0,100.0,HIGH,87.2,9.47,VERY_LOW
Lister professional institute,258,4871.0,Elective Mathematics for WASSCE,VECTORS I (VECTORS IN A PLANE),1.0,1,1,39,12.2,12.2,100.0,HIGH,29.76,9.47,VERY_LOW
Lotus Educational Centre,262,2150.0,Integrated Science for WASSCE,Ecosystem,1.0,1,1,25,1.72,1.72,100.0,HIGH,21.38,9.47,VERY_LOW
Lotus Educational Centre,262,2274.0,Integrated Science for WASSCE,Reproductive Systems And Growth In Mammals,1.0,1,1,31,1.72,1.72,100.0,HIGH,21.38,9.47,VERY_LOW
Lotus Educational Centre,262,2310.0,Integrated Science for WASSCE,Coordination of Life Processes(Nervous System),1.0,1,1,2,1.72,1.72,100.0,HIGH,21.38,9.47,VERY_LOW
Lotus Educational Centre,262,2327.0,Integrated Science for WASSCE,Radioactivity,1.0,1,1,32,25.0,25.0,100.0,HIGH,40.0,9.47,VERY_LOW
Lotus Educational Centre,262,2376.0,Integrated Science for WASSCE,"Forces, Motion And Pressure",1.0,1,1,10,25.0,25.0,100.0,HIGH,40.0,9.47,VERY_LOW
Lotus Educational Centre,262,2386.0,Integrated Science for WASSCE,Pressure,1.0,1,1,5,25.0,25.0,100.0,HIGH,40.0,9.47,VERY_LOW
Lotus Educational Centre,262,4720.0,Integrated Science for WASSCE,Preparation of Gases,1.0,1,1,4,25.0,25.0,100.0,HIGH,40.0,9.47,VERY_LOW
Lotus Educational Centre,262,4723.0,Integrated Science for WASSCE,Rates of Reaction,1.0,1,1,1,25.0,25.0,100.0,HIGH,40.0,9.47,VERY_LOW
Modal College,262,2327.0,Integrated Science for WASSCE,Radioactivity,1.0,1,1,32,5.77,5.77,100.0,HIGH,24.62,9.47,VERY_LOW
Modal College,262,2376.0,Integrated Science for WASSCE,"Forces, Motion And Pressure",1.0,1,1,10,5.77,5.77,100.0,HIGH,24.62,9.47,VERY_LOW
Modal College,262,2386.0,Integrated Science for WASSCE,Pressure,1.0,1,1,5,5.77,5.77,100.0,HIGH,24.62,9.47,VERY_LOW
Modal College,262,4720.0,Integrated Science for WASSCE,Preparation of Gases,1.0,1,1,4,5.77,5.77,100.0,HIGH,24.62,9.47,VERY_LOW
Modal College,262,4723.0,Integrated Science for WASSCE,Rates of Reaction,1.0,1,1,1,5.77,5.77,100.0,HIGH,24.62,9.47,VERY_LOW
NAGIES ANGEL EDUCATONAL CENTRE,253,776.0,Mathematics for BECE,MULTIPLICATION OF TWO BINOMIALS,26.0,1,1,2,5.0,5.0,100.0,HIGH,24.0,9.47,VERY_LOW
