institute_std,learner_count,active_learner_count,class_count,attempt_count,avg_cas_proxy_score_pct,ready_subject_count,at_risk_subject_count,missing_institute_excluded_count,evidence_level,dq_warning_count
Awutu Emasa,1,1,1,1,94.66,1,0,0,VERY_LOW,1
Awutu Emasa Rural Bank,2,2,1,2,94.66,1,0,0,VERY_LOW,2
Awutu Emasa Rural Bank plc,1,1,1,1,86.66,1,0,0,VERY_LOW,1
Awutu Emasa rural bank Ltd,1,1,1,1,94.66,1,0,0,VERY_LOW,1
BANGMARIGU COMMUNITY BANK LTD.,9,9,1,12,88.45,1,0,0,LOW,7
BANKING,2,2,1,3,90.22,1,0,0,VERY_LOW,2
BAWJIASE AREA RURAL BANK LTD,2,2,1,4,92.67,1,0,0,LOW,2
BAWJIASE AREA RURAL BANK LTD.,118,119,1,173,92.3,1,0,0,HIGH,84
BBCB,2,2,1,2,82.66,1,0,0,VERY_LOW,1
BESSFA RIRAL BANK PLC.,1,1,1,1,92.0,1,0,0,VERY_LOW,1
BESSFA RURAL BANK,1,1,1,1,92.0,1,0,0,VERY_LOW,0
BESSFA RURAL BANK LTD,16,17,1,25,91.04,1,0,0,MEDIUM,6
BESSFA RURAL BANK LTD.,60,62,1,86,88.37,1,0,0,HIGH,36
BESSFA RURAL BANK PLC,1,1,1,2,93.33,1,0,0,VERY_LOW,2
BONZALI RURAL BANK,1,1,1,2,92.0,1,0,0,VERY_LOW,2
BONZALI RURAL BANK LIMITED,28,28,1,64,91.46,1,0,0,HIGH,58
BONZALI RURAL BANK LTD.,96,97,1,142,94.31,1,0,0,HIGH,113
BORIMANGA RURAL BANK LTD.,1,1,1,1,92.0,1,0,0,VERY_LOW,1
BOSOME-FREHO RURAL BANK LIMITE,19,19,1,37,93.18,1,0,0,HIGH,26
BOSOME-FREHO RURAL BANK LTD.,47,47,1,68,92.2,1,0,0,HIGH,46
BOSOMTWE RURAL BANK LTD.,105,105,1,121,90.77,1,0,0,HIGH,53
BRAKWA BREMAN RURAL BANK LTD.,72,73,1,85,86.64,1,0,0,HIGH,71
