institute_norm,institute_standardized,institute_std_method,institute_std_source
holy cross seminary tokuroano,Holy Cross Seminary Tokuroano,normalized_only,normalized_only
micheal blackson academy,Micheal Blackson Academy,normalized_only,normalized_only
opuku ware school,Opuku Ware School,normalized_only,normalized_only
teshie,Teshie,normalized_only,normalized_only
mumuadu rural bank ltd,Mumuadu Rural Bank Ltd,normalized_only,normalized_only
starlife assurance ltd,starlife assurance,manual_map,fuzzy_confirmed
duncanville high school,Duncanville High School,normalized_only,normalized_only
republican committee of the trade union of industrial manufacturers of tajikistan tajiksanoat,Republican Committee Of The Trade Union Of Industrial Manufacturers Of Tajikistan Tajiksanoat,normalized_only,normalized_only
learning,Learning,normalized_only,normalized_only
senior high school student,Senior High School Student,normalized_only,normalized_only
t i amass,T I Amass,normalized_only,normalized_only
broookhaven college,Broookhaven College,normalized_only,normalized_only
atlantic view international school,Atlantic View International School,normalized_only,normalized_only
afforest for future,Afforest For Future,normalized_only,normalized_only
irts parmentier,Irts Parmentier,normalized_only,normalized_only
ipetp ps,Ipetp Ps,normalized_only,normalized_only
sissala rural bank limited,Sissala Rural Bank Limited,normalized_only,normalized_only
cungbugdaehaggyo,Cungbugdaehaggyo,normalized_only,normalized_only
dangugdaehaggyo,Dangugdaehaggyo,normalized_only,normalized_only
the african spelling academy,The African Spelling Academy,normalized_only,normalized_only
another voice academy,Another Voice Academy,normalized_only,normalized_only
universite d evry,Universite D Evry,normalized_only,normalized_only
adelphi university,Adelphi University,normalized_only,normalized_only
asawinso rural bank limited,Asawinso Rural Bank Limited,normalized_only,normalized_only
ga rural bank ltd,ga rural bank,manual_map,fuzzy_confirmed
plainview academy,Plainview Academy,normalized_only,normalized_only
kpando senior high,Kpando Senior High,normalized_only,normalized_only
opokuwareschool,opoku ware senior high,manual_map,fuzzy_confirmed
abutia teti e p j h s,Abutia Teti E P J H S,normalized_only,normalized_only
willi gif college of arts and technology,Willi Gif College Of Arts And Technology,normalized_only,normalized_only
prempeh college,Prempeh College,normalized_only,normalized_only
starlife assurance limited,starlife assurance,manual_map,fuzzy_confirmed
ramseyer,Ramseyer,normalized_only,normalized_only
gyeonghyidaehaggyo,Gyeonghyidaehaggyo,normalized_only,normalized_only
great faith academy,Great Faith Academy,normalized_only,normalized_only
undecided,Undecided,normalized_only,normalized_only
universite nazi boni,Universite Nazi Boni,normalized_only,normalized_only
gimpa,Gimpa,normalized_only,normalized_only
pggcg42,Pggcg42,normalized_only,normalized_only
amansie rural bank plc,amansie west rural bank,manual_map,fuzzy_confirmed
odotobri rural bank,odotobri rural bank,manual_map,fuzzy_confirmed
bexhill,Bexhill,normalized_only,normalized_only
nagies angles education center,Nagies Angles Education Center,normalized_only,normalized_only
millennium,Millennium,normalized_only,normalized_only
pnis,Pnis,normalized_only,normalized_only
nafana rural bank ltd,nafana rural bank,manual_map,fuzzy_confirmed
science,Science,normalized_only,normalized_only
x,X,normalized_only,normalized_only
fanacial,Fanacial,normalized_only,normalized_only
weto rural bank ltd,weto rural bank,manual_map,fuzzy_confirmed
college,College,normalized_only,normalized_only
uhas,Uhas,normalized_only,normalized_only
kapps,Kapps,normalized_only,normalized_only
holy child school,Holy Child School,normalized_only,normalized_only
lawra area rural bank plc,lawra area rural bank,manual_map,fuzzy_confirmed
ghana health service,Ghana Health Service,normalized_only,normalized_only
darussalam school,Darussalam School,normalized_only,normalized_only
oak city,Oak City,normalized_only,normalized_only
starlife assurance company ltd,starlife assurance,manual_map,fuzzy_confirmed
senior high schools,Senior High Schools,normalized_only,normalized_only
star life assurance,Star Life Assurance,normalized_only,normalized_only
alison,Alison,normalized_only,normalized_only
kakum rural bank,kakum rural bank,manual_map,fuzzy_confirmed
starlife assurance limited company,Starlife Assurance Limited Company,normalized_only,normalized_only
accra demonstration school,Accra Demonstration School,normalized_only,normalized_only
modern brains academy,Modern Brains Academy,normalized_only,normalized_only
olivet heights academy,Olivet Heights Academy,normalized_only,normalized_only
sefwiman rural bank,Sefwiman Rural Bank,normalized_only,normalized_only
gptc,Gptc,normalized_only,normalized_only
uni gottingen,Uni Gottingen,normalized_only,normalized_only
naara rural bank ltd,naara rural bank,manual_map,fuzzy_confirmed
cangweondaehaggyo,Cangweondaehaggyo,normalized_only,normalized_only
odupongkpehe rural bank ltd,odupongkpehe rural bank,manual_map,fuzzy_confirmed
fiaseman rural bank limited,fiaseman rural bank,manual_map,fuzzy_confirmed
new horzion,New Horzion,normalized_only,normalized_only
lake brantly high school,Lake Brantly High School,normalized_only,normalized_only
pre vas,Pre Vas,normalized_only,normalized_only
university of health and allied sciences ho,University Of Health And Allied Sciences Ho,normalized_only,normalized_only
universite de caen,Universite De Caen,normalized_only,normalized_only
yendi senior high,Yendi Senior High,normalized_only,normalized_only
jomoro rural bank ltd,jomoro rural bank,manual_map,fuzzy_confirmed
seminole high school,Seminole High School,normalized_only,normalized_only
bessfa rural bank,bessfa rural bank,manual_map,fuzzy_confirmed
living faith international school,Living Faith International School,normalized_only,normalized_only
st rose s senior high,St Rose S Senior High,normalized_only,normalized_only
new star discovery academy,New Star Discovery Academy,normalized_only,normalized_only
jack heights middle school,Jack Heights Middle School,normalized_only,normalized_only
pal international school,Pal International School,normalized_only,normalized_only
south akim rural bank plc,south akim rural bank,manual_map,fuzzy_confirmed
kpassa glory preparatory,Kpassa Glory Preparatory,normalized_only,normalized_only
akim bosome rural bank ltd,Akim Bosome Rural Bank Ltd,normalized_only,normalized_only
bonzali rural bank limited,Bonzali Rural Bank Limited,normalized_only,normalized_only
sussex county cummunity college,Sussex County Cummunity College,normalized_only,normalized_only
but carriere sociale parcours ville et territoire durable,But Carriere Sociale Parcours Ville Et Territoire Durable,normalized_only,normalized_only
uri,Uri,normalized_only,normalized_only
amuga rural bank ltd,amuga rural bank,manual_map,fuzzy_confirmed
metropolitan community college,Metropolitan Community College,normalized_only,normalized_only
r,R,normalized_only,normalized_only
kibi senior high technical school,Kibi Senior High Technical School,normalized_only,normalized_only
nagie s angels educational center,Nagie S Angels Educational Center,normalized_only,normalized_only
drobo community bank ltd,drobo community bank,manual_map,fuzzy_confirmed
lower pra rural bank plc,lower pra rural bank,manual_map,fuzzy_confirmed
accra,Accra,normalized_only,normalized_only
opoku ware sch,Opoku Ware Sch,normalized_only,normalized_only
picture making,Picture Making,normalized_only,normalized_only
mathematics,Mathematics,normalized_only,normalized_only
starlife assrance,Starlife Assrance,normalized_only,normalized_only
opokuware,opoku ware senior high,manual_map,fuzzy_confirmed
volo community senior high school,Volo Community Senior High School,normalized_only,normalized_only
aamusted,Aamusted,normalized_only,normalized_only
diamond,Diamond,normalized_only,normalized_only
khu,Khu,normalized_only,normalized_only
goshen light academy,Goshen Light Academy,normalized_only,normalized_only
mico university college,Mico University College,normalized_only,normalized_only
assinman rural bank limited,Assinman Rural Bank Limited,normalized_only,normalized_only
kwahu,Kwahu,normalized_only,normalized_only
nzema male rural bank,Nzema Male Rural Bank,normalized_only,normalized_only
african science academy,African Science Academy,normalized_only,normalized_only
wamfie rural bank ltd,wamfie rural bank,manual_map,fuzzy_confirmed
estp,Estp,normalized_only,normalized_only
asanteman shs,Asanteman Shs,normalized_only,normalized_only
xxxxx,Xxxxx,normalized_only,normalized_only
rellis college,Rellis College,normalized_only,normalized_only
tonasse inter school complex,Tonasse Inter School Complex,normalized_only,normalized_only
gangyi,Gangyi,normalized_only,normalized_only
kwaebibirim rural bank limited,Kwaebibirim Rural Bank Limited,normalized_only,normalized_only
accra girls senior high school,Accra Girls Senior High School,normalized_only,normalized_only
lawra area rural bank ltd,lawra area rural bank,manual_map,fuzzy_confirmed
bishop herman college,Bishop Herman College,normalized_only,normalized_only
seckondi,Seckondi,normalized_only,normalized_only
newjoy academy,Newjoy Academy,normalized_only,normalized_only
effiduase rural bank ltd,effiduase rural bank,manual_map,fuzzy_confirmed
aggrey memorial a m e zion secondary high school,Aggrey Memorial A M E Zion Secondary High School,normalized_only,normalized_only
otuasekan rural bank ltd,Otuasekan Rural Bank Ltd,normalized_only,normalized_only
all subjects,All Subjects,normalized_only,normalized_only
ecampus,ecampus education,manual_map,fuzzy_confirmed
tesano,Tesano,normalized_only,normalized_only
agave rural bank ltd,agave rural bank,manual_map,fuzzy_confirmed
universidad del pais vasco,Universidad Del Pais Vasco,normalized_only,normalized_only
river state university,River State University,normalized_only,normalized_only
dd,Dd,normalized_only,normalized_only
dumpong rural bank ltd,dumpong rural bank,manual_map,fuzzy_confirmed
archbishop porter girls,Archbishop Porter Girls,normalized_only,normalized_only
dallas college el centro,Dallas College El Centro,normalized_only,normalized_only
nagie s angels educational,Nagie S Angels Educational,normalized_only,normalized_only
high school,junior high school,normalized_only,fuzzy_confirmed
grenoble iae,Grenoble Iae,normalized_only,normalized_only
kenyatta university referral hospital,Kenyatta University Referral Hospital,normalized_only,normalized_only
nyankumasi ahenkro,Nyankumasi Ahenkro,normalized_only,normalized_only
juaben rural bank limited,juaben rural bank,manual_map,fuzzy_confirmed
amansie bank plc,Amansie Bank Plc,normalized_only,normalized_only
sissala rural bank plc,Sissala Rural Bank Plc,normalized_only,normalized_only
presbyterian women s model,Presbyterian Women S Model,normalized_only,normalized_only
mepe area rural bank ltd,mepe area rural bank,manual_map,fuzzy_confirmed
shs final year,Shs Final Year,normalized_only,normalized_only
novdec,Novdec,normalized_only,normalized_only
lake brantley high school,Lake Brantley High School,normalized_only,normalized_only
manya krobo senior high school,Manya Krobo Senior High School,normalized_only,normalized_only
ahafo ano premier rural bank l,Ahafo Ano Premier Rural Bank L,normalized_only,normalized_only
odupongkpe rural bank,Odupongkpe Rural Bank,normalized_only,normalized_only
dallas county college,Dallas County College,normalized_only,normalized_only
st peters,St Peters,normalized_only,normalized_only
cultural,Cultural,normalized_only,normalized_only
business,Business,normalized_only,normalized_only
whizzy academy,Whizzy Academy,normalized_only,normalized_only
sw,Sw,normalized_only,normalized_only
peak lyceum,Peak Lyceum,normalized_only,normalized_only
nagie s,Nagie S,normalized_only,normalized_only
attc,Attc,normalized_only,normalized_only
star life,starlife assurance,manual_map,fuzzy_confirmed
ghana,Ghana,normalized_only,normalized_only
she,She,normalized_only,normalized_only
s h s,S H S,normalized_only,normalized_only
social,Social,normalized_only,normalized_only
c nergy,C Nergy,normalized_only,normalized_only
saltpond methodist high school,Saltpond Methodist High School,normalized_only,normalized_only
indian trails middle school,Indian Trails Middle School,normalized_only,normalized_only
tuobodom she,Tuobodom She,normalized_only,normalized_only
gsts,Gsts,normalized_only,normalized_only
jiangsu university,Jiangsu University,normalized_only,normalized_only
ggdsd,Ggdsd,normalized_only,normalized_only
danidarl advanced preparatory,Danidarl Advanced Preparatory,normalized_only,normalized_only
